game_id,season,game_type,game_date,start_time_utc,eastern_utc_offset,game_state,venue,home_abbrev,away_abbrev,home_score,away_score,winner_abbrev,loser_abbrev,goal_diff
2024020243,20242025,2,2024-11-11,2024-11-12T02:00:00Z,-05:00,OFF,Ball Arena,COL,NSH,3.0,2.0,COL,NSH,1.0
2024020244,20242025,2,2024-11-11,2024-11-12T03:00:00Z,-05:00,OFF,T-Mobile Arena,VGK,CAR,2.0,5.0,CAR,VGK,3.0
2024020245,20242025,2,2024-11-12,2024-11-13T00:00:00Z,-05:00,OFF,Scotiabank Arena,TOR,OTT,0.0,3.0,OTT,TOR,3.0
2024020246,20242025,2,2024-11-12,2024-11-13T00:30:00Z,-05:00,OFF,Amerant Bank Arena,FLA,NJD,1.0,4.0,NJD,FLA,3.0
2024020247,20242025,2,2024-11-12,2024-11-13T00:00:00Z,-05:00,OFF,Madison Square Garden,NYR,WPG,3.0,6.0,WPG,NYR,3.0
2024020248,20242025,2,2024-11-12,2024-11-13T01:00:00Z,-05:00,OFF,Enterprise Center,STL,BOS,2.0,3.0,BOS,STL,1.0
2024020249,20242025,2,2024-11-12,2024-11-13T02:00:00Z,-05:00,OFF,Rogers Place,EDM,NYI,4.0,3.0,EDM,NYI,1.0
2024020250,20242025,2,2024-11-12,2024-11-13T03:00:00Z,-05:00,OFF,Rogers Arena,VAN,CGY,3.0,1.0,VAN,CGY,2.0
2024020251,20242025,2,2024-11-12,2024-11-13T03:00:00Z,-05:00,OFF,Climate Pledge Arena,SEA,CBJ,5.0,2.0,SEA,CBJ,3.0
2024020252,20242025,2,2024-11-13,2024-11-14T00:30:00Z,-05:00,OFF,PPG Paints Arena,PIT,DET,2.0,3.0,DET,PIT,1.0
2024020253,20242025,2,2024-11-13,2024-11-14T00:30:00Z,-05:00,OFF,Capital One Arena,WSH,TOR,3.0,4.0,TOR,WSH,1.0
2024020254,20242025,2,2024-11-13,2024-11-14T02:00:00Z,-05:00,OFF,Delta Center,UTA,CAR,4.0,1.0,UTA,CAR,3.0
2024020255,20242025,2,2024-11-13,2024-11-14T03:00:00Z,-05:00,OFF,Ball Arena,COL,LAK,4.0,2.0,COL,LAK,2.0
2024020256,20242025,2,2024-11-13,2024-11-14T03:00:00Z,-05:00,OFF,Honda Center,ANA,VGK,2.0,3.0,VGK,ANA,1.0
2024020257,20242025,2,2024-11-14,2024-11-15T00:30:00Z,-05:00,OFF,KeyBank Center,BUF,STL,4.0,3.0,BUF,STL,1.0
2024020258,20242025,2,2024-11-14,2024-11-15T00:00:00Z,-05:00,OFF,Canadian Tire Centre,OTT,PHI,4.0,5.0,PHI,OTT,1.0
2024020259,20242025,2,2024-11-14,2024-11-15T00:00:00Z,-05:00,OFF,Amalie Arena,TBL,WPG,4.0,1.0,TBL,WPG,3.0
